date,day_of_week,workingday,temp,casual,registered,total
2011-01-01,6,weekend,0.344167,331,654,985
2011-01-02,0,weekend,0.363478,131,670,801
2011-01-03,1,workday,0.196364,120,1229,1349
2011-01-04,2,workday,0.2,108,1454,1562
2011-01-05,3,workday,0.226957,82,1518,1600
2011-01-06,4,workday,0.204348,88,1518,1606
2011-01-07,5,workday,0.196522,148,1362,1510
2011-01-08,6,weekend,0.165,68,891,959
2011-01-09,0,weekend,0.138333,54,768,822
2011-01-10,1,workday,0.150833,41,1280,1321
2011-01-11,2,workday,0.169091,43,1220,1263
2011-01-12,3,workday,0.172727,25,1137,1162
2011-01-13,4,workday,0.165,38,1368,1406
2011-01-14,5,workday,0.16087,54,1367,1421
2011-01-15,6,weekend,0.233333,222,1026,1248
2011-01-16,0,weekend,0.231667,251,953,1204
2011-01-17,1,weekend,0.175833,117,883,1000
2011-01-18,2,workday,0.216667,9,674,683
2011-01-19,3,workday,0.292174,78,1572,1650
2011-01-20,4,workday,0.261667,83,1844,1927
2011-01-21,5,workday,0.1775,75,1468,1543
2011-01-22,6,weekend,0.0591304,93,888,981
2011-01-23,0,weekend,0.0965217,150,836,986
2011-01-24,1,workday,0.0973913,86,1330,1416
2011-01-25,2,workday,0.223478,186,1799,1985
2011-01-26,3,workday,0.2175,34,472,506
2011-01-27,4,workday,0.195,15,416,431
2011-01-28,5,workday,0.203478,38,1129,1167
2011-01-29,6,weekend,0.196522,123,975,1098
2011-01-30,0,weekend,0.216522,140,956,1096
2011-01-31,1,workday,0.180833,42,1459,1501
2011-02-01,2,workday,0.192174,47,1313,1360
2011-02-02,3,workday,0.26,72,1454,1526
2011-02-03,4,workday,0.186957,61,1489,1550
2011-02-04,5,workday,0.211304,88,1620,1708
2011-02-05,6,weekend,0.233333,100,905,1005
2011-02-06,0,weekend,0.285833,354,1269,1623
2011-02-07,1,workday,0.271667,120,1592,1712
2011-02-08,2,workday,0.220833,64,1466,1530
2011-02-09,3,workday,0.134783,53,1552,1605
2011-02-10,4,workday,0.144348,47,1491,1538
2011-02-11,5,workday,0.189091,149,1597,1746
2011-02-12,6,weekend,0.2225,288,1184,1472
2011-02-13,0,weekend,0.316522,397,1192,1589
2011-02-14,1,workday,0.415,208,1705,1913
2011-02-15,2,workday,0.266087,140,1675,1815
2011-02-16,3,workday,0.318261,218,1897,2115
2011-02-17,4,workday,0.435833,259,2216,2475
2011-02-18,5,workday,0.521667,579,2348,2927
2011-02-19,6,weekend,0.399167,532,1103,1635
2011-02-20,0,weekend,0.285217,639,1173,1812
2011-02-21,1,weekend,0.303333,195,912,1107
2011-02-22,2,workday,0.182222,74,1376,1450
2011-02-23,3,workday,0.221739,139,1778,1917
2011-02-24,4,workday,0.295652,100,1707,1807
2011-02-25,5,workday,0.364348,120,1341,1461
2011-02-26,6,weekend,0.2825,424,1545,1969
2011-02-27,0,weekend,0.343478,694,1708,2402
2011-02-28,1,workday,0.407273,81,1365,1446
2011-03-01,2,workday,0.266667,137,1714,1851
2011-03-02,3,workday,0.335,231,1903,2134
2011-03-03,4,workday,0.198333,123,1562,1685
2011-03-04,5,workday,0.261667,214,1730,1944
2011-03-05,6,weekend,0.384167,640,1437,2077
2011-03-06,0,weekend,0.376522,114,491,605
2011-03-07,1,workday,0.261739,244,1628,1872
2011-03-08,2,workday,0.2925,316,1817,2133
2011-03-09,3,workday,0.295833,191,1700,1891
2011-03-10,4,workday,0.389091,46,577,623
2011-03-11,5,workday,0.316522,247,1730,1977
2011-03-12,6,weekend,0.329167,724,1408,2132
2011-03-13,0,weekend,0.384348,982,1435,2417
2011-03-14,1,workday,0.325217,359,1687,2046
2011-03-15,2,workday,0.317391,289,1767,2056
2011-03-16,3,workday,0.365217,321,1871,2192
2011-03-17,4,workday,0.415,424,2320,2744
2011-03-18,5,workday,0.54,884,2355,3239
2011-03-19,6,weekend,0.4725,1424,1693,3117
2011-03-20,0,weekend,0.3325,1047,1424,2471
2011-03-21,1,workday,0.430435,401,1676,2077
2011-03-22,2,workday,0.441667,460,2243,2703
2011-03-23,3,workday,0.346957,203,1918,2121
2011-03-24,4,workday,0.285,166,1699,1865
2011-03-25,5,workday,0.264167,300,1910,2210
2011-03-26,6,weekend,0.265833,981,1515,2496
2011-03-27,0,weekend,0.253043,472,1221,1693
