name,city,state,online_only,undergrads
Alabama A & M University,Normal,AL,0,5271
University of Alabama at Birmingham,Birmingham,AL,0,13328
Amridge University,Montgomery,AL,1,365
University of Alabama in Huntsville,Huntsville,AL,0,7785
Alabama State University,Montgomery,AL,0,3750
The University of Alabama,Tuscaloosa,AL,0,31900
Central Alabama Community College,Alexander City,AL,0,1201
Athens State University,Athens,AL,0,2677
Auburn University at Montgomery,Montgomery,AL,0,4407
Auburn University,Auburn,AL,0,24209
Birmingham-Southern College,Birmingham,AL,0,1205
Chattahoochee Valley Community College,Phenix City,AL,0,1394
South University-Montgomery,Montgomery,AL,0,251
Enterprise State Community College,Enterprise,AL,0,1332
Coastal Alabama Community College,Bay Minette,AL,0,5508
Faulkner University,Montgomery,AL,0,1928
Gadsden State Community College,Gadsden,AL,0,3968
New Beginning College of Cosmetology,Albertville,AL,0,83
George C Wallace Community College-Dothan,Dothan,AL,0,3649
George C Wallace State Community College-Hanceville,Hanceville,AL,0,4429
George C Wallace State Community College-Selma,Selma,AL,0,1034
Herzing University-Birmingham,Birmingham,AL,0,565
Huntingdon College,Montgomery,AL,0,1007
Heritage Christian University,Florence,AL,0,59
J. F. Drake State Community and Technical College,Huntsville,AL,0,649
J F Ingram State Technical College,Deatsville,AL,0,485
Jacksonville State University,Jacksonville,AL,0,6743
Jefferson State Community College,Birmingham,AL,0,6548
John C Calhoun State Community College,Tanner,AL,0,7728
Judson College,Marion,AL,0,245
Lawson State Community College,Birmingham,AL,0,3047
University of West Alabama,Livingston,AL,0,2235
Lurleen B Wallace Community College,Andalusia,AL,0,1204
Marion Military Institute,Marion,AL,0,406
Miles College,Fairfield,AL,0,1452
University of Mobile,Mobile,AL,0,1192
University of Montevallo,Montevallo,AL,0,2200
Northwest-Shoals Community College,Muscle Shoals,AL,0,2537
University of North Alabama,Florence,AL,0,5513
Northeast Alabama Community College,Rainsville,AL,0,1975
Oakwood University,Huntsville,AL,0,1442
Reid State Technical College,Evergreen,AL,0,327
Bishop State Community College,Mobile,AL,0,2306
Samford University,Birmingham,AL,0,3585
Selma University,Selma,AL,0,310
Shelton State Community College,Tuscaloosa,AL,0,3715
Snead State Community College,Boaz,AL,0,1745
University of South Alabama,Mobile,AL,0,9380
Spring Hill College,Mobile,AL,0,1156
Stillman College,Tuscaloosa,AL,0,830
Talladega College,Talladega,AL,0,1169
H Councill Trenholm State Community College,Montgomery,AL,0,1741
Troy University,Troy,AL,0,12595
Tuskegee University,Tuskegee,AL,0,2394
United States Sports Academy,Daphne,AL,0,211
Bevill State Community College,Jasper,AL,0,2695
University of Alaska Anchorage,Anchorage,AK,0,9257
Alaska Bible College,Palmer,AK,0,30
University of Alaska Fairbanks,Fairbanks,AK,0,4410
University of Alaska Southeast,Juneau,AK,0,1156
Alaska Pacific University,Anchorage,AK,0,318
Alaska Vocational Technical Center,Seward,AK,0,631
Charter College,Vancouver,WA,0,2474
Alaska Career College,Anchorage,AK,0,361
Empire Beauty School-Tucson,Tucson,AZ,0,106
Carrington College-Phoenix North,Phoenix,AZ,0,1644
CollegeAmerica-Flagstaff,Flagstaff,AZ,0,36
Arizona Academy of Beauty-East,Tucson,AZ,0,40
Platt College-Arizona Automotive Institute Arizona,Glendale,AZ,0,490
Brookline College-Phoenix,Phoenix,AZ,0,1437
Arizona State University Campus Immersion,Tempe,AZ,0,44038
Arizona Western College,Yuma,AZ,0,6856
University of Arizona,Tucson,AZ,0,33715
Southwest University of Visual Arts-Tucson,Tucson,AZ,0,92
Central Arizona College,Coolidge,AZ,0,4777
Charles of Italy Beauty College,Lake Havasu City,AZ,0,58
Cochise County Community College District,Sierra Vista,AZ,0,3387
Empire Beauty School-Flagstaff,Flagstaff,AZ,0,26
