Name,Reign_Start,Reign_End,Dynasty,Region,Legitimacy,Cause_of_Death,Notes
Augustus,27 BC,14,Julio-Claudian,Unified,Official,Natural/Illness,
Tiberius,14,37,Julio-Claudian,Unified,Official,Natural/Illness,
Caligula,37,41,Julio-Claudian,Unified,Official,Assassination,
Claudius,41,54,Julio-Claudian,Unified,Official,Poisoning?,
Nero,54,68,Julio-Claudian,Unified,Official,Suicide,
Galba,68,69,,Unified,Official,Assassination,Year of the Four Emperors
Otho,69,69,,Unified,Official,Suicide,Year of the Four Emperors
Vitellius,69,69,,Unified,Official,Execution,Year of the Four Emperors
Vespasian,69,79,Flavian,Unified,Official,Natural/Illness,
Titus,79,81,Flavian,Unified,Official,Illness/Fever,
Domitian,81,96,Flavian,Unified,Official,Assassination,
Nerva,96,98,Nerva-Antonine,Unified,Official,Natural/Illness,
Trajan,98,117,Nerva-Antonine,Unified,Official,Stroke/Illness,
Hadrian,117,138,Nerva-Antonine,Unified,Official,Heart/Illness,
Antoninus Pius,138,161,Nerva-Antonine,Unified,Official,Natural/Illness,
Marcus Aurelius,161,180,Nerva-Antonine,Unified,Official,Illness (plague),Co-ruled 161–169 with Lucius Verus
Lucius Verus,161,169,Nerva-Antonine,Unified,Official,Illness (plague),Co-emperor with Marcus Aurelius
Commodus,180,192,Nerva-Antonine,Unified,Official,Assassination,
Pertinax,193,193,,Unified,Official,Assassination,
Didius Julianus,193,193,,Unified,Official,Execution,Purchased throne at auction
Septimius Severus,193,211,Severan,Unified,Official,Illness,
Pescennius Niger,193,194,Severan,East,Usurper,Killed in battle,Rival to Severus
Clodius Albinus,193,197,Severan,West,Usurper/Co,Killed in battle,Proclaimed Augustus in the West
Caracalla,198,217,Severan,Unified,Official,Assassination,Co-emperor 198–211; sole 211–217
Geta,209,211,Severan,Unified,Co-Emperor,Assassination,Killed by Caracalla
Macrinus,217,218,Severan,Unified,Official,Execution,
Diadumenian,218,218,Severan,Unified,Usurper,Execution,Son of Macrinus; brief claim
Elagabalus,218,222,Severan,Unified,Official,Assassination,
Severus Alexander,222,235,Severan,Unified,Official,Assassination,
Maximinus Thrax,235,238,,Unified,Official,Assassination,Army mutiny
Gordian I,238,238,,Unified,Official,Suicide,Co-emperor with son
Gordian II,238,238,,Unified,Official,Killed in battle,Co-emperor with father
Pupienus,238,238,,Unified,Official,Assassination,Joint with Balbinus
Balbinus,238,238,,Unified,Official,Assassination,Joint with Pupienus
Gordian III,238,244,,Unified,Official,Killed (unclear),Possibly murdered in campaign
Philip the Arab,244,249,,Unified,Official,Killed in battle,Against Decius
Philip II,247,249,,Unified,Co-Emperor,Killed in battle,Son of Philip
Decius,249,251,,Unified,Official,Killed in battle,Against Goths
Herennius Etruscus,251,251,,Unified,Co-Emperor,Killed in battle,Son of Decius
Hostilian,251,251,,Unified,Co-Emperor,Plague/Illness,
Trebonianus Gallus,251,253,,Unified,Official,Assassination,
Volusianus,251,253,,Unified,Co-Emperor,Assassination,Son of Gallus
Aemilian,253,253,,Unified,Official,Assassination,
Valerian,253,260,,Unified,Official,Died in captivity,Captured by Shapur I
Gallienus,253,268,,Unified,Official,Assassination,Co with Valerian; later sole
Saloninus,260,260,,Unified,Co-Emperor?,Execution,Son of Gallienus
Claudius II Gothicus,268,270,,Unified,Official,Illness,
Quintillus,270,270,,Unified,Official,Suicide/Unknown,Brother of Claudius II
Aurelian,270,275,,Unified,Official,Assassination,
Tacitus,275,276,,Unified,Official,Illness,
Florianus,276,276,,Unified,Official,Assassination,
Probus,276,282,,Unified,Official,Assassination,
Carus,282,283,,Unified,Official,Illness/Lightning?,
Carinus,283,285,,Unified,Official,Killed in battle,
Numerian,283,284,,Unified,Official,Murder/Illness,Found dead in litter
Pacatian,248,248,,Danube,Usurper,,Rebel against Philip
Jotapian,248,248,,Syria,Usurper,,Rebel against Philip
Silbannacus,c. 248,c. 248,,Unknown,Usurper,,Known from rare coin; doubtful
Sponsian,c. 260,c. 260,,Dacia?,Usurper,,Highly disputed; coin-based claim
Ingenuus,260,260,,Pannonia,Usurper,,Rebel against Gallienus
Regalianus,260,260,,Pannonia,Usurper,,Brief usurper; coins exist
Macrianus Major,260,261,,East,Usurper,,Father of usurpers; consul-like role
Macrianus Minor,260,261,,East,Usurper,,Son of Macrianus; usurper
Quietus,260,261,,East,Usurper,,Son of Macrianus; usurper
Aureolus,268,268,,Italy,Usurper,,Rebel general under Gallienus
Domitianus II,c. 271,c. 271,,Gaul,Usurper,,Dubious; rare coin
Saturninus,280,280,,Syria,Usurper,,Usurper under Probus
Proculus,280,280,,Gaul,Usurper,,Usurper under Probus
Bonosus,280,280,,Britain/Gaul,Usurper,,Usurper under Probus
Postumus,260,269,,Gaul/Britain,Breakaway Emperor,,Founder of Gallic Empire
Laelianus,269,269,,Gaul/Britain,Breakaway Emperor,,Usurper against Postumus
Marius,269,269,,Gaul/Britain,Breakaway Emperor,,Very brief reign
Victorinus,269,271,,Gaul/Britain,Breakaway Emperor,,
Tetricus I,271,274,,Gaul/Britain,Breakaway Emperor,,Surrendered to Aurelian
Tetricus II,271,274,,Gaul/Britain,Breakaway Emperor,,Co-emperor/son
Odaenathus,260,267,,Palmyra/East,Breakaway Emperor,,King of Palmyra; de facto Roman ruler of East
